sigma,seed,agent,cost,harm,effort,w_mean,g_mean,floor_frac
0.0,13,A2,0.04957529141368196,0.04271037555292291,0.06864915860759047,0.18391780406486982,1.1675495043927009,0.0
0.0,14,A2,0.05094168885375442,0.043611847008064766,0.07329841845689652,0.14103648195962215,1.1290840495449643,0.0
0.0,15,A2,0.05557988269730566,0.0484860183124995,0.07093864384806162,0.17999390888816477,1.1744998891515623,0.0
0.0,16,A2,0.038302301636484785,0.031950844311194784,0.0635145732529,0.14599248950178526,1.1452771969950601,0.0
0.0,17,A2,0.046338196348718046,0.039791416080362865,0.06546780268355178,0.1782522715347863,1.11397277293131,0.0
0.0,18,A2,0.04889381634839633,0.04180920757070193,0.070846087776944,0.16179932220286916,1.1339205561541548,0.0
0.0,19,A2,0.04096934438261763,0.03433010242933571,0.06639241953281924,0.13052724785697686,1.175916708127866,0.0
0.0,20,A2,0.053916307331657115,0.046997349655282385,0.06918957676374729,0.17929788107626224,1.1589724707534863,0.0
0.0,21,A2,0.03993003128688833,0.03336827368398341,0.06561757602904925,0.15112588633531013,1.1954642365601875,0.0
0.0,22,A2,0.03878369441195869,0.0327333869775698,0.06050307434388887,0.15130752150804624,1.1728374690312955,0.0
0.0,23,A2,0.02910486472081543,0.02348547848741145,0.056193862334039814,0.12636384766463127,1.1385014269703415,0.0
0.0,24,A2,0.04210994460242085,0.03543672507530336,0.06673219527117492,0.14728790589729052,1.142342706160997,0.0
0.0,25,A2,0.02975996631696174,0.023613788299193333,0.06146178017768405,0.12184489478306292,1.1429697837529986,0.0
0.0,26,A2,0.04805832041049281,0.04083425625033169,0.07224064160161116,0.1442196335278869,1.1414956272950005,0.0
0.0,27,A2,0.03630176821803043,0.03001831668645773,0.06283451531572704,0.1350844221978759,1.1476344513508259,0.0
0.0,28,A2,0.0370978737823609,0.030850237015737504,0.06247636766623401,0.13295419006263487,1.1161589432530665,0.0
0.0,29,A2,0.034930909136143,0.029070957189081408,0.05859951947061597,0.13846267267534504,1.115223086146457,0.0
0.0,0,A3,0.03740752747201746,0.029862925541227214,0.07544601930790248,0.8969658334197108,1.1163627126859552,0.0
0.0,1,A3,0.032508299043030216,0.025536816314833746,0.06971482728196468,0.876555008197013,1.1177036878146849,0.0
0.0,2,A3,0.03257724958121484,0.02563683025539815,0.06940419325816696,0.9030522628428004,1.1389834602538107,0.0
